日期,股票代码,成交量,换手率,RSI,MACD_DIF,MACD_DEA,MACD_HIST,KDJ_K,KDJ_D,KDJ_J,MACD信号,RSI信号,KDJ信号
2023-03-15,600519,19213,0.15,40.33633316367286,-13.84281532957425,-2.5535286639347157,-11.289286665639535,37.799421193011135,31.53661328492426,50.325037009184875,死叉,中性,中性
2023-03-16,600519,17646,0.14,40.629261462685704,-12.98382294907924,-3.226450875879524,-9.757372073199717,37.92114993251541,36.2876836710492,41.18808245544783,死叉,中性,中性
2023-03-17,600519,27023,0.22,38.717955565427054,-13.242019653713669,-3.8726166034817266,-9.369403050231941,22.690149784397146,32.80357363664124,2.4633020799089564,死叉,中性,超卖
2023-03-20,600519,20491,0.16,36.42730325961826,-14.459095452986048,-4.555615238933618,-9.90348021405243,14.72457048521219,25.111956734041588,-6.050202012446604,死叉,中性,超卖
2023-03-21,600519,31142,0.25,48.452073971396544,-7.367858285741477,-4.737050274211544,-2.6308080115299326,32.517987317895454,23.31090252916827,50.93215689534981,死叉,中性,中性
2023-03-22,600519,15330,0.12,48.09601003096495,-3.303373874169438,-4.644555022595925,1.3411811484264868,52.27103949070956,33.17119909793907,90.47072027625053,金叉,中性,超买
2023-03-23,600519,17356,0.14,48.46922579211721,-0.6573900209380099,-4.387318570876059,3.729928549938049,75.90724976068941,53.56542552309815,120.59089823587193,金叉,中性,超买
2023-03-24,600519,12770,0.1,49.44405172405409,1.395412688154238,-4.014239134809588,5.409651822963826,74.8080544690713,67.66211457349009,89.09993426023371,金叉,中性,超买
2023-03-27,600519,15296,0.12,46.70351712926401,0.7896436998921672,-3.70431120999012,4.493954909882287,72.12323144526523,74.27951189167531,67.81067055244509,金叉,中性,中性
2023-03-28,600519,17261,0.14,50.52393403784213,2.5340943305436667,-3.3018334331814887,5.835927763725156,70.7926179112619,72.5746346085328,67.22858451672008,金叉,中性,中性
2023-03-29,600519,15393,0.12,52.66276044527795,4.574455624199572,-2.7936857520601297,7.368141376259702,70.1607011776503,71.02551684472581,68.43106984349924,金叉,中性,中性
2023-03-30,600519,19257,0.15,55.20591014686468,6.925291746545099,-2.166654945698502,9.091946692243601,78.93279178993463,73.29537029294896,90.20763478390595,金叉,中性,超买
2023-03-31,600519,27446,0.22,59.85161635067065,10.818154374094547,-1.3289253121634665,12.147079686258014,78.87795434379287,75.99048243712593,84.65289815712674,金叉,中性,超买
2023-04-03,600519,21417,0.17,54.40411038008509,9.569221602812604,-0.6258190595843652,10.19504066239697,68.00348294871407,75.27140969414718,53.467629457847835,金叉,中性,中性
2023-04-04,600519,20066,0.16,57.32493037198295,10.205002418306549,0.07294361640859698,10.132058801897951,55.26474687457423,67.38206138902704,31.0301178456686,金叉,中性,中性
2023-04-06,600519,14874,0.12,52.24927598274044,7.2620948377696095,0.5367598242383398,6.72533501353127,40.752669579888256,54.67363313439218,12.910742470880407,金叉,中性,超卖
2023-04-07,600519,13525,0.11,50.6149670032987,4.312200106702676,0.7803366166553937,3.5318634900472823,28.049893086243756,41.35576984690208,1.4381395649271127,金叉,中性,超卖
2023-04-10,600519,29418,0.23,45.646690422126824,-0.48090611670977523,0.6989661177286086,-1.1798722344383838,21.878899815619565,30.227154160583854,5.182391125690991,死叉,中性,超卖
2023-04-11,600519,29209,0.23,39.91576206978205,-7.035878837558357,0.1999438625488044,-7.235822700107161,13.897981605276412,21.275591502379907,-0.8572381889305802,死叉,中性,超卖
2023-04-12,600519,51105,0.41,31.547623786249986,-17.97278039210846,-0.9724899603323094,-17.00029043177615,12.064311736640603,15.947064385845524,4.298806438230759,死叉,中性,超卖
2023-04-13,600519,29543,0.24,39.25827331318622,-18.470315761735264,-2.1013819475195965,-16.36893381421567,11.69507375676986,12.55245569956229,9.980309871185003,死叉,中性,超卖
2023-04-14,600519,21232,0.17,37.74064942581371,-19.07380076566892,-3.1963767099808433,-15.877424055688078,19.99437245940656,14.584585984272337,30.813945409675,死叉,中性,中性
2023-04-17,600519,30467,0.24,46.87767783058827,-12.2500167820167,-3.780482521079931,-8.46953426093677,40.7475095474243,24.145651921200237,73.95122479987242,死叉,中性,中性
2023-04-18,600519,18314,0.15,47.91752825528966,-7.027951773841778,-3.989996666419405,-3.037955107422373,59.11360436925162,39.95182879202749,97.43715552369987,死叉,中性,超买
2023-04-19,600519,14601,0.12,48.13619005502826,-3.602101055816547,-3.964971143154705,0.3628700873381576,79.53019866512581,59.797104193933905,118.99638760750963,金叉,中性,超买
2023-04-20,600519,19885,0.16,44.67789178811439,-4.109085448662199,-3.9742688402842203,-0.13481660837797893,77.68274002548951,72.10884768662231,88.83052470322389,死叉,中性,超买
2023-04-21,600519,18518,0.15,41.593260866440886,-6.622950544840933,-4.145151530900782,-2.4777990139401505,51.590434933369664,69.60112454132833,15.56905571745233,死叉,中性,超卖
2023-04-24,600519,20231,0.16,38.06299481247499,-10.694273897614721,-4.567675554559746,-6.126598343054975,24.139915956511945,51.13769697179037,-29.8556460740449,死叉,中性,超卖
2023-04-25,600519,20583,0.16,44.3677672451496,-8.421403368969322,-4.816303155489396,-3.6051002134799264,20.07104204021355,31.93379764336505,-3.6544691660894557,死叉,中性,超卖
